DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,0,0
03/03/2020 12:00:00 AM,1,1,0
03/04/2020 12:00:00 AM,5,2,0
03/05/2020 12:00:00 AM,3,8,0
03/06/2020 12:00:00 AM,8,5,0
03/07/2020 12:00:00 AM,7,6,0
03/08/2020 12:00:00 AM,21,15,0
03/09/2020 12:00:00 AM,57,30,0
03/10/2020 12:00:00 AM,70,49,0
03/11/2020 12:00:00 AM,155,73,1
03/12/2020 12:00:00 AM,357,79,0
03/13/2020 12:00:00 AM,619,145,0
03/14/2020 12:00:00 AM,642,156,2
03/15/2020 12:00:00 AM,1036,196,5
03/16/2020 12:00:00 AM,2121,330,8
03/17/2020 12:00:00 AM,2452,360,8
03/18/2020 12:00:00 AM,2971,491,20
03/19/2020 12:00:00 AM,3707,571,24
03/20/2020 12:00:00 AM,4007,701,47
03/21/2020 12:00:00 AM,2637,736,44
03/22/2020 12:00:00 AM,2580,763,50
03/23/2020 12:00:00 AM,3570,1111,82
03/24/2020 12:00:00 AM,4503,1244,95
03/25/2020 12:00:00 AM,4874,1396,123
03/26/2020 12:00:00 AM,5048,1543,190
03/27/2020 12:00:00 AM,5118,1502,218
03/28/2020 12:00:00 AM,3479,1439,274
03/29/2020 12:00:00 AM,3563,1472,292
03/30/2020 12:00:00 AM,6130,1835,325
03/31/2020 12:00:00 AM,5461,1804,385
04/01/2020 12:00:00 AM,5450,1757,448
04/02/2020 12:00:00 AM,5748,1732,500
04/03/2020 12:00:00 AM,5670,1688,498
04/04/2020 12:00:00 AM,3866,1431,512
04/05/2020 12:00:00 AM,3782,1394,580
04/06/2020 12:00:00 AM,6353,1805,575
04/07/2020 12:00:00 AM,6043,1686,599
04/08/2020 12:00:00 AM,5581,1618,569
04/09/2020 12:00:00 AM,5071,1482,561
04/10/2020 12:00:00 AM,4512,1395,540
04/11/2020 12:00:00 AM,3732,1161,542
04/12/2020 12:00:00 AM,2888,1033,572
04/13/2020 12:00:00 AM,3313,1265,570
04/14/2020 12:00:00 AM,4146,1128,510
04/15/2020 12:00:00 AM,3878,1003,455
04/16/2020 12:00:00 AM,3529,902,414
04/17/2020 12:00:00 AM,3584,898,385
04/18/2020 12:00:00 AM,2172,666,390
04/19/2020 12:00:00 AM,2346,587,399
04/20/2020 12:00:00 AM,3794,709,364
04/21/2020 12:00:00 AM,3064,654,324
04/22/2020 12:00:00 AM,3461,577,313
04/23/2020 12:00:00 AM,2842,504,332
04/24/2020 12:00:00 AM,2535,517,315
04/25/2020 12:00:00 AM,1597,366,264
04/26/2020 12:00:00 AM,1003,339,246
04/27/2020 12:00:00 AM,2289,394,270
04/28/2020 12:00:00 AM,2728,396,229
04/29/2020 12:00:00 AM,2341,327,240
04/30/2020 12:00:00 AM,2022,283,225
05/01/2020 12:00:00 AM,1888,292,210
05/02/2020 12:00:00 AM,1058,225,191
05/03/2020 12:00:00 AM,786,216,177
05/04/2020 12:00:00 AM,1551,253,159
05/05/2020 12:00:00 AM,1512,229,152
05/06/2020 12:00:00 AM,1398,229,151
05/07/2020 12:00:00 AM,1238,198,142
05/08/2020 12:00:00 AM,1082,208,131
05/09/2020 12:00:00 AM,658,146,99
05/10/2020 12:00:00 AM,458,108,103
05/11/2020 12:00:00 AM,1231,192,104
05/12/2020 12:00:00 AM,1285,136,91
05/13/2020 12:00:00 AM,1335,151,83
05/14/2020 12:00:00 AM,1112,146,70
05/15/2020 12:00:00 AM,875,140,87
05/16/2020 12:00:00 AM,486,91,83
05/17/2020 12:00:00 AM,359,83,77
05/18/2020 12:00:00 AM,897,112,59
05/19/2020 12:00:00 AM,1004,127,55
05/20/2020 12:00:00 AM,1077,88,80
05/21/2020 12:00:00 AM,1069,95,45
05/22/2020 12:00:00 AM,1039,115,65
05/23/2020 12:00:00 AM,456,73,60
05/24/2020 12:00:00 AM,468,82,49
05/25/2020 12:00:00 AM,467,86,48
05/26/2020 12:00:00 AM,1053,75,38
05/27/2020 12:00:00 AM,745,84,48
05/28/2020 12:00:00 AM,646,79,38
05/29/2020 12:00:00 AM,646,92,43
05/30/2020 12:00:00 AM,349,57,54
05/31/2020 12:00:00 AM,230,62,39
06/01/2020 12:00:00 AM,687,79,35
06/02/2020 12:00:00 AM,574,70,38
06/03/2020 12:00:00 AM,516,81,43
06/04/2020 12:00:00 AM,523,74,33
06/05/2020 12:00:00 AM,404,58,28
06/06/2020 12:00:00 AM,246,41,35
06/07/2020 12:00:00 AM,198,54,25
06/08/2020 12:00:00 AM,451,62,39
06/09/2020 12:00:00 AM,421,61,33
06/10/2020 12:00:00 AM,365,60,31
06/11/2020 12:00:00 AM,366,56,21
06/12/2020 12:00:00 AM,410,59,24
06/13/2020 12:00:00 AM,197,38,15
06/14/2020 12:00:00 AM,180,43,24
06/15/2020 12:00:00 AM,380,56,20
06/16/2020 12:00:00 AM,420,62,18
06/17/2020 12:00:00 AM,356,50,20
06/18/2020 12:00:00 AM,378,56,17
06/19/2020 12:00:00 AM,362,53,16
06/20/2020 12:00:00 AM,203,30,18
06/21/2020 12:00:00 AM,172,42,28
06/22/2020 12:00:00 AM,398,54,25
06/23/2020 12:00:00 AM,383,46,27
06/24/2020 12:00:00 AM,383,49,25
06/25/2020 12:00:00 AM,299,45,19
06/26/2020 12:00:00 AM,314,41,20
06/27/2020 12:00:00 AM,207,40,21
06/28/2020 12:00:00 AM,203,35,19
06/29/2020 12:00:00 AM,439,50,23
06/30/2020 12:00:00 AM,443,49,22
07/01/2020 12:00:00 AM,397,43,12
07/02/2020 12:00:00 AM,418,48,23
07/03/2020 12:00:00 AM,237,28,21
07/04/2020 12:00:00 AM,120,32,14
07/05/2020 12:00:00 AM,154,25,16
07/06/2020 12:00:00 AM,434,60,16
07/07/2020 12:00:00 AM,461,49,13
07/08/2020 12:00:00 AM,437,32,20
07/09/2020 12:00:00 AM,392,50,10
07/10/2020 12:00:00 AM,310,43,10
07/11/2020 12:00:00 AM,257,32,13
07/12/2020 12:00:00 AM,224,28,11
07/13/2020 12:00:00 AM,484,49,17
07/14/2020 12:00:00 AM,401,41,10
07/15/2020 12:00:00 AM,440,44,13
07/16/2020 12:00:00 AM,417,36,8
07/17/2020 12:00:00 AM,419,54,13
07/18/2020 12:00:00 AM,218,29,10
07/19/2020 12:00:00 AM,175,33,7
07/20/2020 12:00:00 AM,402,34,11
07/21/2020 12:00:00 AM,339,28,11
07/22/2020 12:00:00 AM,330,38,8
07/23/2020 12:00:00 AM,309,38,9
07/24/2020 12:00:00 AM,300,40,6
07/25/2020 12:00:00 AM,153,34,11
07/26/2020 12:00:00 AM,140,27,8
07/27/2020 12:00:00 AM,315,43,5
07/28/2020 12:00:00 AM,313,40,12
07/29/2020 12:00:00 AM,289,30,5
07/30/2020 12:00:00 AM,271,36,4
07/31/2020 12:00:00 AM,264,33,5
08/01/2020 12:00:00 AM,189,31,8
08/02/2020 12:00:00 AM,137,34,2
08/03/2020 12:00:00 AM,348,41,3
08/04/2020 12:00:00 AM,187,39,6
08/05/2020 12:00:00 AM,300,38,8
08/06/2020 12:00:00 AM,295,34,6
08/07/2020 12:00:00 AM,258,27,4
08/08/2020 12:00:00 AM,160,17,6
08/09/2020 12:00:00 AM,133,27,3
08/10/2020 12:00:00 AM,310,33,6
08/11/2020 12:00:00 AM,264,26,6
08/12/2020 12:00:00 AM,320,36,2
08/13/2020 12:00:00 AM,276,40,3
08/14/2020 12:00:00 AM,278,40,4
08/15/2020 12:00:00 AM,151,23,7
08/16/2020 12:00:00 AM,140,24,5
08/17/2020 12:00:00 AM,329,33,6
08/18/2020 12:00:00 AM,282,43,2
08/19/2020 12:00:00 AM,257,32,2
08/20/2020 12:00:00 AM,227,35,7
08/21/2020 12:00:00 AM,252,31,3
08/22/2020 12:00:00 AM,136,26,6
08/23/2020 12:00:00 AM,150,21,4
08/24/2020 12:00:00 AM,297,31,8
08/25/2020 12:00:00 AM,282,41,5
08/26/2020 12:00:00 AM,313,26,6
08/27/2020 12:00:00 AM,269,31,1
08/28/2020 12:00:00 AM,279,22,6
08/29/2020 12:00:00 AM,128,22,4
08/30/2020 12:00:00 AM,183,19,9
08/31/2020 12:00:00 AM,311,40,3
09/01/2020 12:00:00 AM,296,22,5
09/02/2020 12:00:00 AM,274,23,7
09/03/2020 12:00:00 AM,273,21,6
09/04/2020 12:00:00 AM,229,32,4
09/05/2020 12:00:00 AM,156,20,3
09/06/2020 12:00:00 AM,207,24,7
09/07/2020 12:00:00 AM,218,25,3
09/08/2020 12:00:00 AM,393,25,2
09/09/2020 12:00:00 AM,352,28,3
09/10/2020 12:00:00 AM,322,26,3
09/11/2020 12:00:00 AM,313,34,4
09/12/2020 12:00:00 AM,201,14,6
09/13/2020 12:00:00 AM,257,16,3
09/14/2020 12:00:00 AM,433,29,5
09/15/2020 12:00:00 AM,340,32,3
09/16/2020 12:00:00 AM,366,47,7
09/17/2020 12:00:00 AM,357,27,4
09/18/2020 12:00:00 AM,287,38,4
09/19/2020 12:00:00 AM,160,23,5
09/20/2020 12:00:00 AM,157,24,3
09/21/2020 12:00:00 AM,513,23,3
09/22/2020 12:00:00 AM,408,31,3
09/23/2020 12:00:00 AM,532,41,4
09/24/2020 12:00:00 AM,467,33,2
09/25/2020 12:00:00 AM,455,48,4
09/26/2020 12:00:00 AM,278,31,6
09/27/2020 12:00:00 AM,381,32,2
09/28/2020 12:00:00 AM,433,35,4
09/29/2020 12:00:00 AM,688,50,8
09/30/2020 12:00:00 AM,587,50,7
10/01/2020 12:00:00 AM,615,36,5
10/02/2020 12:00:00 AM,595,46,4
10/03/2020 12:00:00 AM,273,26,5
10/04/2020 12:00:00 AM,338,44,7
10/05/2020 12:00:00 AM,848,53,3
10/06/2020 12:00:00 AM,565,50,2
10/07/2020 12:00:00 AM,540,46,4
10/08/2020 12:00:00 AM,518,42,5
10/09/2020 12:00:00 AM,519,54,3
10/10/2020 12:00:00 AM,308,34,4
10/11/2020 12:00:00 AM,279,44,8
10/12/2020 12:00:00 AM,510,47,8
10/13/2020 12:00:00 AM,581,54,3
10/14/2020 12:00:00 AM,572,57,6
10/15/2020 12:00:00 AM,596,71,9
10/16/2020 12:00:00 AM,498,45,6
10/17/2020 12:00:00 AM,357,39,6
10/18/2020 12:00:00 AM,407,42,4
10/19/2020 12:00:00 AM,619,61,7
10/20/2020 12:00:00 AM,597,71,6
10/21/2020 12:00:00 AM,644,49,5
10/22/2020 12:00:00 AM,742,43,2
10/23/2020 12:00:00 AM,584,57,4
10/24/2020 12:00:00 AM,374,52,1
10/25/2020 12:00:00 AM,358,43,9
10/26/2020 12:00:00 AM,677,52,3
10/27/2020 12:00:00 AM,718,42,8
10/28/2020 12:00:00 AM,744,38,4
10/29/2020 12:00:00 AM,588,44,4
10/30/2020 12:00:00 AM,610,50,9
10/31/2020 12:00:00 AM,379,41,4
11/01/2020 12:00:00 AM,463,44,9
11/02/2020 12:00:00 AM,877,55,9
11/03/2020 12:00:00 AM,756,58,11
11/04/2020 12:00:00 AM,860,47,6
11/05/2020 12:00:00 AM,581,37,6
11/06/2020 12:00:00 AM,305,3,5
11/07/2020 12:00:00 AM,21,0,0
