date,Stats Driven Predictions & Planning,Politicized COVID Issues,Political Banter,Reopening,Essential Services,State Mandates,Enforcement & Opposition,Election Related COVID Commentary
2020-03-10,42,7,8,7,21,10,7,6
2020-03-16,55,19,3,32,20,3,31,10
2020-03-17,29,20,8,6,10,1,11,4
2020-03-18,31,4,6,5,16,5,9,4
2020-03-19,24,14,7,6,14,3,18,3
2020-03-20,32,19,10,10,31,8,28,10
2020-03-23,29,16,7,10,7,6,11,6
2020-03-24,17,13,7,0,9,1,0,1
2020-03-25,33,32,7,9,12,5,13,6
2020-03-26,24,26,11,8,18,1,15,4
2020-03-27,18,13,7,4,16,1,3,12
2020-03-28,42,25,4,10,26,5,8,8
2020-03-29,27,18,4,7,18,5,25,3
2020-03-30,17,15,6,1,13,3,2,3
2020-03-31,42,38,19,12,34,8,16,12
2020-04-01,17,24,8,8,17,4,20,6
2020-04-02,28,47,18,4,12,9,18,8
2020-04-03,17,34,9,5,11,8,10,5
2020-04-04,39,25,7,5,7,3,3,4
2020-04-05,27,16,8,4,16,1,10,5
2020-04-06,20,21,4,6,11,9,7,6
2020-04-07,36,21,4,6,13,3,12,3
2020-04-08,31,18,12,3,15,13,11,5
2020-04-09,14,20,2,6,14,3,11,2
2020-04-10,35,17,8,5,8,6,7,1
2020-04-12,43,15,4,9,22,4,17,5
2020-04-13,98,30,21,15,37,9,31,5
2020-04-14,51,13,7,3,8,12,14,3
2020-04-15,27,22,5,7,12,3,6,3
2020-04-16,27,13,9,5,16,10,11,1
2020-04-17,41,43,11,6,26,18,19,7
2020-04-18,23,9,3,6,6,12,12,4
2020-04-19,33,15,10,10,5,3,19,1
2020-04-20,50,8,7,9,17,12,12,9
2020-04-21,19,8,10,6,10,1,3,4
2020-04-22,56,21,13,9,20,23,17,7
2020-04-23,62,10,8,8,16,29,6,5
2020-04-24,35,22,16,7,6,7,18,12
2020-04-25,16,3,11,4,12,6,9,5
2020-04-26,38,10,4,7,25,7,19,6
2020-04-27,46,15,5,13,15,17,10,8
2020-04-28,38,5,8,2,30,5,10,5
2020-04-29,27,4,10,5,30,14,10,2
2020-04-30,21,6,8,5,23,10,8,1
2020-05-01,34,7,6,3,16,6,12,1
2020-05-02,10,10,9,2,22,1,9,2
2020-05-03,18,21,15,8,25,3,5,1
2020-05-04,22,10,6,3,6,4,6,1
2020-05-05,20,14,10,7,19,10,15,1
2020-05-06,20,9,14,0,9,1,6,10
2020-05-07,12,11,8,0,5,2,3,1
2020-05-08,24,9,2,3,7,1,11,3
2020-05-11,41,6,8,2,20,4,6,3
2020-05-12,17,6,7,3,9,5,9,2
2020-05-13,34,10,4,8,4,3,7,1
2020-05-14,36,8,7,2,18,4,7,6
2020-05-15,32,5,7,17,10,6,9,4
2020-05-16,18,10,11,4,5,6,7,6
2020-05-17,51,10,12,4,10,10,12,13
2020-05-18,43,6,6,2,11,7,13,12
2020-05-19,15,19,16,3,9,5,6,3
2020-05-20,55,10,14,7,17,19,15,9
2020-05-21,26,7,4,5,8,0,12,1
2020-05-22,25,9,12,6,13,2,12,13
2020-05-24,14,1,2,5,7,3,6,0
2020-05-25,10,4,8,8,10,4,0,3
2020-05-26,24,16,22,16,14,7,5,1
2020-05-27,9,15,10,6,4,7,18,0
2020-05-28,25,12,16,12,24,6,15,5
2020-05-29,22,3,5,5,19,2,7,3
2020-05-31,4,4,1,2,5,1,39,1
2020-06-01,17,5,9,3,12,2,30,0
2020-06-02,7,11,5,6,0,5,38,3
2020-06-03,10,9,3,3,2,1,14,1
2020-06-04,13,1,9,3,5,4,41,2
2020-06-07,9,2,3,0,1,0,12,0
2020-06-08,17,2,5,2,18,0,25,2
2020-06-09,31,4,4,2,5,1,25,3
2020-06-10,22,6,3,5,14,10,6,4
2020-06-11,12,2,4,2,4,3,11,2
2020-06-12,23,2,4,7,3,2,33,1
2020-06-14,17,1,2,7,3,5,30,3
2020-06-15,15,5,10,9,5,2,17,4
2020-06-16,31,12,2,2,9,10,18,0
2020-06-17,24,14,5,2,5,4,18,1
2020-06-18,18,11,8,4,2,1,18,1
2020-06-19,2,0,5,0,0,0,4,0
2020-06-24,25,7,10,16,3,7,12,6
2020-06-29,23,13,4,7,7,0,10,0
2020-07-01,19,6,21,11,3,2,31,3
2020-07-06,24,19,6,5,3,8,25,2
2020-07-08,47,9,6,6,8,3,17,1
2020-07-20,12,8,7,5,2,0,18,0
2020-07-23,81,13,19,16,11,8,26,9
2020-07-24,21,6,3,9,6,0,37,4
2020-08-03,37,2,2,1,1,1,8,2
2020-08-05,2,2,0,1,2,0,3,0
2020-08-07,25,0,2,0,3,1,3,0
2020-08-14,18,4,5,9,5,5,14,4
2020-08-17,23,12,3,4,3,6,22,3
2020-08-19,14,13,6,5,2,1,11,1
2020-08-24,6,11,4,4,10,0,8,3
2020-08-26,16,3,1,3,1,1,21,1
2020-08-27,29,5,8,4,6,0,19,1
2020-08-31,24,2,0,3,4,3,13,1
2020-09-03,7,6,5,4,2,0,17,3
2020-09-08,50,10,5,16,3,2,32,5
2020-09-09,26,3,3,14,4,8,15,4
2020-09-16,5,1,2,0,0,0,2,0
2020-09-21,14,10,4,9,4,1,15,6
2020-09-24,39,10,5,5,8,6,46,4
2020-09-29,26,6,6,7,4,3,36,12
2020-10-01,23,1,13,8,7,1,16,15
2020-10-05,55,1,2,15,11,2,40,2
2020-10-06,33,6,2,10,3,5,35,8
2020-10-09,21,1,6,3,4,4,17,2
2020-10-14,17,5,11,7,5,2,29,2
2020-10-18,16,16,5,4,1,8,8,1
2020-10-20,30,7,7,0,11,0,13,4
2020-10-21,43,8,7,4,9,10,11,3
2020-10-26,33,13,5,2,9,5,5,7
